profiles,mode,means,std_dev
clang.all-prog-aggr-lbr,extsmaild.c,0.220,0.002
clang.all-prog-aggr-lbr,tty.c,0.473,0.002
clang.all-prog-aggr-lbr,format.c,0.773,0.003
clang.all-prog-aggr-lbr,window-copy.c,0.754,0.003
clang.exts.pt,extsmaild.c,0.223,0.002
clang.exts.pt,tty.c,0.488,0.002
clang.exts.pt,format.c,0.794,0.003
clang.exts.pt,window-copy.c,0.776,0.003
clang.tty.pt,extsmaild.c,0.220,0.002
clang.tty.pt,tty.c,0.470,0.002
clang.tty.pt,format.c,0.771,0.002
clang.tty.pt,window-copy.c,0.752,0.003
clang.format.pt,extsmaild.c,0.216,0.002
clang.format.pt,tty.c,0.466,0.002
clang.format.pt,format.c,0.756,0.003
clang.format.pt,window-copy.c,0.741,0.003
clang.window-copy.pt,extsmaild.c,0.217,0.002
clang.window-copy.pt,tty.c,0.467,0.002
clang.window-copy.pt,format.c,0.736,0.003
clang.window-copy.pt,window-copy.c,0.759,0.003

